State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Disorder Past Year.18-25,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.18-25,Rates.Alcohol.Use Disorder Past Year.26+,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.18-25,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Rates.Alcohol.Use Past Month.18-25,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.18-25,Rates.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Totals.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Month.18-25,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.18-25,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.18-25,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
New Hampshire,2017,94983,141804,933100,2,21,55,20.045,146.187,59.392,11,98,631,116.61,690.35,676.599,4,34,144,38.419,242.584,154.233,1,15,16,8.039,106.514,17.044,6,7,2,73.432,127.347,7.31,8,42,116,88.416,299.524,124.076,15,64,160,160.653,451.742,171.922,5,46,192,54.933,321.097,205.249
New Hampshire,2018,94278,140227,945381,2,20,54,20.994,143.947,57.363,10,97,631,108.636,688.907,667.526,3,29,141,28.395,207.825,148.985,1,13,18,6.116,92.342,18.573,6,7,3,76.785,138.051,10.098,8,42,116,81.816,301.583,122.484,15,64,173,161.749,459.242,183.145,4,42,190,39.721,297.897,200.843
New Jersey,2002,719658,791085,5586200,37,131,278,51.602,166.224,49.681,135,515,3448,187.738,650.646,617.177,85,322,1255,118.279,406.681,224.624,13,51,95,17.752,64.93,17.093,43,25,4,66.24,59.723,1.156,53,142,164,73.316,178.881,29.299,101,233,279,140.301,293.961,49.959,98,352,1455,136.501,444.463,260.38
New Jersey,2003,733853,816302,5595385,41,125,298,55.589,152.665,53.259,138,521,3147,188.221,637.892,562.411,86,310,1226,117.025,380.154,219.029,11,48,86,14.527,58.683,15.305,41,27,4,60.99,59.783,1.067,51,144,162,69.495,176.135,29.026,97,236,290,132.427,289.583,51.743,103,346,1340,140.126,424.189,239.51
New Jersey,2004,745809,832522,5605723,42,129,297,56.837,155.12,52.9,140,520,3255,187.698,624.097,580.608,84,313,1191,111.982,375.799,212.499,12,52,82,16.351,62.084,14.547,35,27,5,52.565,62.298,1.597,48,133,186,64.651,160.273,33.165,94,237,339,125.481,284.354,60.513,99,348,1383,132.972,418.58,246.719
New Jersey,2005,741478,844005,5639515,40,132,289,53.627,156.682,51.198,144,562,3385,194.446,666.188,600.204,81,318,1126,108.837,376.471,199.596,12,54,86,16.336,63.745,15.179,38,26,6,57.193,59.605,1.523,47,134,195,63.321,159.104,34.579,99,243,352,132.868,288.281,62.417,95,364,1393,127.613,431.514,246.94
New Jersey,2006,727090,852072,5662105,38,136,301,51.605,159.365,53.132,131,561,3295,179.893,658.523,582.009,66,316,1205,91.193,370.69,212.806,10,48,80,13.145,56.052,14.149,36,26,3,52.888,58.339,0.955,42,127,171,57.687,148.497,30.258,89,231,344,121.946,271.673,60.807,84,362,1437,115.639,424.444,253.792
New Jersey,2007,715118,858459,5652902,32,144,313,44.403,167.673,55.414,108,545,3254,151.703,634.844,575.622,52,288,1270,73.407,334.917,224.706,9,44,72,11.887,50.874,12.687,30,27,4,41.979,58.112,1.033,41,137,172,56.908,159.904,30.45,75,230,299,104.235,268.232,52.898,69,318,1457,96.025,370.72,257.758
New Jersey,2008,702953,871610,5658877,26,138,314,37.087,158.704,55.411,107,566,3246,151.727,649.59,573.682,53,306,1151,75.893,351.291,203.338,7,43,75,10.376,49.317,13.265,34,36,4,48.922,76.888,1.011,43,152,169,61.623,174.215,29.863,82,262,321,116.308,300.05,56.738,69,334,1391,98.078,383.399,245.778
New Jersey,2009,695052,873788,5686972,27,127,310,39.21,145.157,54.479,106,565,3370,152.7,646.041,592.669,53,326,1158,76.603,373.528,203.558,6,52,102,9.274,59.868,17.884,38,38,5,60.017,87.198,1.453,50,157,203,72.054,179.525,35.774,95,278,398,136.084,317.769,69.968,68,369,1417,97.42,422.232,249.118
